date,Draw,Scotland,Wales
2015-02-15 14:50:16.742,,,
2015-02-15 14:50:32.342,3.613891,34.38005,62.5
2015-02-15 14:50:47.990,3.571429,34.48276,62.5
2015-02-15 14:51:03.803,3.571429,34.45731,62.41517
2015-02-15 14:51:19.815,3.571429,34.24658,62.49114
2015-02-15 14:51:35.530,3.453971,34.05905,62.49867
2015-02-15 14:51:51.143,3.338826,34.01484,62.49867
2015-02-15 14:52:07.639,3.448276,33.99508,62.73006
2015-02-15 14:52:23.387,3.448276,33.99598,62.67088
2015-02-15 14:52:39.190,3.394093,34.01361,62.83398
2015-02-15 14:52:54.933,3.448276,34.01361,62.52715
2015-02-15 14:53:10.553,3.333333,34.20256,62.55195
2015-02-15 14:53:26.144,3.388542,34.20571,62.49018
2015-02-15 14:53:41.744,3.448276,34.24658,62.49156
2015-02-15 14:53:57.419,3.448276,34.24658,62.89308
2015-02-15 14:54:13.158,3.448276,34.01034,62.79123
2015-02-15 14:54:28.735,3.571429,34.01361,62.89308
2015-02-15 14:54:44.360,3.503185,34.01361,62.87364
2015-02-15 14:54:59.929,3.448276,34.01361,62.89308
2015-02-15 14:55:15.679,3.448276,33.93383,62.87066
2015-02-15 14:55:31.373,3.571429,33.96033,62.88853
2015-02-15 14:55:47.096,3.571429,34.04691,62.83284
2015-02-15 14:56:02.742,3.571429,34.17786,62.7772
2015-02-15 14:56:21.080,3.47891,34.04111,62.87778
2015-02-15 14:56:36.764,3.448276,34.03267,62.69955
2015-02-15 14:56:52.556,3.571429,34.05817,62.57928
2015-02-15 14:57:08.120,3.492554,34.0949,62.82201
2015-02-15 14:57:23.747,3.571429,33.90021,62.79529
2015-02-15 14:57:39.318,3.571429,33.80454,62.86381
2015-02-15 14:57:54.932,3.524619,33.78378,62.69032
2015-02-15 14:58:10.511,3.539346,33.95244,62.89308
2015-02-15 14:58:26.336,3.360987,33.23644,63.36912
2015-02-15 14:58:41.934,3.537614,33.21069,64.09328
2015-02-15 14:58:57.502,3.448276,32.84874,63.76501
2015-02-15 14:59:13.160,3.334749,32.729,64.04575
2015-02-15 14:59:28.678,3.363705,32.84417,63.85668
2015-02-15 14:59:44.338,3.348153,33.34468,63.75565
