date,Draw,England,Ireland
2015-03-01 14:50:33.020,,,
2015-03-01 14:50:48.921,4.34993,43.0898,52.60582
2015-03-01 14:51:04.727,4.466794,43.08555,52.60096
2015-03-01 14:51:20.662,4.545455,43.01123,52.61352
2015-03-01 14:51:36.504,4.545455,43.10088,52.85025
2015-03-01 14:51:52.691,4.349893,42.83647,52.89254
2015-03-01 14:52:08.769,4.427319,42.73504,53.05034
2015-03-01 14:52:24.468,4.545455,42.72229,53.07968
2015-03-01 14:52:40.449,4.545455,42.6757,53.149
2015-03-01 14:52:56.316,4.545455,42.70503,53.18802
2015-03-01 14:53:12.124,4.392195,42.73504,52.99709
2015-03-01 14:53:29.448,4.545455,42.64145,53.18369
2015-03-01 14:53:45.349,4.545455,42.73504,53.1489
2015-03-01 14:54:01.279,4.361338,42.74526,53.19149
2015-03-01 14:54:17.183,4.347826,42.73918,53.19038
2015-03-01 14:54:32.913,4.328047,42.71236,53.18293
2015-03-01 14:54:49.085,4.195561,42.73504,53.1428
2015-03-01 14:55:04.955,4.223258,42.73504,53.24432
2015-03-01 14:55:20.712,4.180964,42.57397,53.46663
2015-03-01 14:55:40.416,4.228833,42.57558,53.20589
2015-03-01 14:55:56.275,4.297935,42.65203,53.43807
2015-03-01 14:56:12.285,4.168243,42.72906,53.31243
2015-03-01 14:56:28.185,4.166667,42.71308,53.33884
2015-03-01 14:56:43.928,4.131947,42.71809,53.39015
2015-03-01 14:56:59.736,4.033844,42.85197,53.32342
2015-03-01 14:57:15.646,4.037363,42.96623,53.33675
2015-03-01 14:57:31.544,4.06895,43.07443,53.24109
2015-03-01 14:57:47.385,4.115961,42.88445,53.19321
2015-03-01 14:58:03.501,4.166667,42.51208,53.36447
2015-03-01 14:58:19.340,4.039996,43.01565,53.42114
2015-03-01 14:58:35.244,4.166667,43.03126,53.41444
2015-03-01 14:58:51.660,4.101906,42.78113,53.45587
2015-03-01 14:59:07.559,4.166667,43.02258,53.38511
2015-03-01 14:59:23.453,4.033496,42.81761,53.43518
2015-03-01 14:59:39.371,4.077645,42.91585,53.25416
2015-03-01 14:59:55.175,4.088965,42.82603,53.38531
2015-03-01 15:00:10.955,4.151801,42.87609,53.21125
2015-03-01 15:00:26.913,4.052782,43.10345,53.19386
2015-03-01 15:00:46.379,4.119558,43.06746,53.14117
2015-03-01 15:01:02.297,4.169811,43.39146,53.07519
2015-03-01 15:01:18.117,4.143851,43.46296,52.92242
2015-03-01 15:01:34.019,4.012582,42.86999,52.7798
2015-03-01 15:01:50.936,4.121327,43.01012,53.42546
2015-03-01 15:02:07.355,4,41.25054,53.42546
2015-03-01 15:02:23.384,4.046625,40.49627,55.55556
2015-03-01 15:02:39.250,3.888516,40.32258,55.82506
2015-03-01 15:02:55.344,3.830842,40.20984,56.64943
2015-03-01 15:03:11.384,3.725999,37.60969,58.82011
2015-03-01 15:03:27.552,3.954904,38.14409,58.76874
2015-03-01 15:03:43.581,3.749987,38.10457,57.91321
2015-03-01 15:03:59.541,3.84663,37.02329,59.2251
2015-03-01 15:04:15.417,3.703704,37.10108,59.80753
2015-03-01 15:04:31.174,3.943898,36.15235,60.57932
2015-03-01 15:04:47.481,3.824138,36.38017,59.62539
2015-03-01 15:05:03.345,3.819245,36.35577,60.50854
2015-03-01 15:05:19.149,3.564615,36.09106,60.53606
2015-03-01 15:05:34.965,3.46211,36.09106,60.53606
2015-03-01 15:05:54.681,3.703517,32.27228,64.66023
2015-03-01 15:06:10.724,3.703704,31.99848,64.48917
2015-03-01 15:06:26.738,3.818428,32.41754,64.63634
2015-03-01 15:06:42.681,3.703704,30.76923,65.44256
2015-03-01 15:06:58.909,3.981183,30.76923,65.5708
2015-03-01 15:07:14.964,3.803764,31.3318,64.59626
2015-03-01 15:07:31.005,3.839054,30.55478,65.77245
2015-03-01 15:07:46.900,3.696168,29.93434,66.63995
2015-03-01 15:08:02.949,3.517439,29.12463,67.12974
2015-03-01 15:08:18.964,3.554143,28.21317,68.02721
2015-03-01 15:08:34.904,3.516983,28.25021,68.57234
2015-03-01 15:08:51.609,3.547767,28.79948,68.55762
2015-03-01 15:09:09.106,3.386649,30.56827,66.38244
2015-03-01 15:09:25.132,3.44476,31.17412,66.17533
2015-03-01 15:09:41.053,3.395713,31.04276,66.49665
2015-03-01 15:09:56.965,3.410608,31.71234,65.71497
2015-03-01 15:10:13.012,3.370533,31.37443,66.34458
2015-03-01 15:10:29.098,3.440432,32.73374,64.09112
2015-03-01 15:10:51.154,3.455525,32.91552,64.09006
2015-03-01 15:11:08.014,3.491504,34.21279,62.38448
2015-03-01 15:11:28.708,3.459296,35.73764,60.57467
2015-03-01 15:11:44.624,3.571429,36.5487,60.24096
2015-03-01 15:12:00.526,3.624399,37.03746,59.8552
2015-03-01 15:12:16.281,3.349782,36.92015,59.89066
2015-03-01 15:12:32.170,3.496466,37.58059,58.84369
2015-03-01 15:12:48.089,3.767996,37.30897,59.4601
2015-03-01 15:13:04.511,3.68947,37.57412,58.8268
2015-03-01 15:13:20.602,3.601359,37.91665,58.79752
2015-03-01 15:13:36.515,3.643711,38.89633,57.68145
2015-03-01 15:13:52.318,3.711495,38.95096,57.57449
2015-03-01 15:14:08.495,3.790113,38.72347,58.18779
2015-03-01 15:14:24.357,3.934816,38.36483,57.80784
