date,Draw,France,Wales
2015-02-28 16:50:16.607,,,
2015-02-28 16:50:32.746,3.846154,55.55556,41.06936
2015-02-28 16:50:49.267,3.846154,55.5143,41.31139
2015-02-28 16:51:05.233,3.846154,55.24862,41.32231
2015-02-28 16:51:21.396,3.804348,55.05716,41.31106
2015-02-28 16:51:37.616,3.846154,55.24862,41.10882
2015-02-28 16:51:53.650,3.846154,55.25594,41.16541
2015-02-28 16:52:09.800,3.846154,55.55556,40.98361
2015-02-28 16:52:26.821,3.70766,55.37479,40.99283
2015-02-28 16:52:45.885,3.703704,55.55532,40.98505
2015-02-28 16:53:01.938,3.703704,56.03013,40.40223
2015-02-28 16:53:17.914,3.678936,56.29309,40.18465
2015-02-28 16:53:33.896,3.703704,56.18234,40.11332
2015-02-28 16:53:50.457,3.703704,56.30234,40.32258
2015-02-28 16:54:06.598,3.601435,56.38625,40.32032
2015-02-28 16:54:23.781,3.601435,56.47052,40.32137
2015-02-28 16:54:39.686,3.686814,56.27036,40.32258
2015-02-28 16:54:56.259,3.706227,56.45079,39.86122
2015-02-28 16:55:12.310,3.639608,56.96216,39.54819
2015-02-28 16:55:28.417,3.639608,57.12645,39.68254
2015-02-28 16:55:44.266,3.703704,57.13969,39.68254
2015-02-28 16:56:00.320,3.703704,57.1023,39.38436
2015-02-28 16:56:16.390,3.703704,57.10442,39.16448
2015-02-28 16:56:32.292,3.703704,57.47126,39.37008
2015-02-28 16:56:48.258,3.58516,56.95879,39.3612
2015-02-28 16:57:04.137,3.58516,56.6738,39.96899
2015-02-28 16:57:20.743,3.690088,56.4717,39.91567
2015-02-28 16:58:01.233,3.594938,56.17393,40.37983
2015-02-28 16:58:17.168,3.594808,56.1142,40.47238
2015-02-28 16:58:32.922,3.608088,56.05257,40.60509
2015-02-28 16:58:48.869,3.677167,55.86592,40.44578
2015-02-28 16:59:05.410,3.608293,55.95868,40.89633
2015-02-28 16:59:21.141,3.541214,56.23294,40.65398
2015-02-28 16:59:37.302,3.531565,56.12139,40.79241
2015-02-28 16:59:53.064,3.46457,56.17699,40.63712
2015-02-28 17:00:09.012,3.474564,56.02874,40.67679
2015-02-28 17:00:24.644,3.504179,56.01222,40.7047
2015-02-28 17:00:40.439,3.462512,56.18966,40.67787
2015-02-28 17:00:56.267,3.442083,55.95795,40.58692
2015-02-28 17:01:12.074,3.341917,55.80648,41.11054
