date,Draw,Ireland,Wales
2015-03-14 14:20:16.437,0.001313466,0.02835883,0.01502114
2015-03-14 14:20:32.259,76.75244,542.6519,367.6078
2015-03-14 14:20:47.967,61.11413,2521.034,735.9288
2015-03-14 14:21:03.759,7.599184,5368.672,755.5109
2015-03-14 14:21:19.833,91.48907,1300.444,575.698
2015-03-14 14:21:35.547,0,1154.493,572.7029
2015-03-14 14:21:51.407,0,5811.268,16950.2
2015-03-14 14:22:07.174,418.198,53867.2,8468.652
2015-03-14 14:22:27.952,75.51267,2563.042,955.4158
2015-03-14 14:22:43.778,297.0799,18783.9,4300.532
2015-03-14 14:22:59.963,301.7511,5416.691,164.5915
2015-03-14 14:23:15.715,38.09163,466.9272,2126.389
2015-03-14 14:23:31.540,184.2194,3371.264,6148.885
2015-03-14 14:23:47.447,181.921,2807.385,132.1313
2015-03-14 14:24:03.406,543.547,50125.09,7690.868
2015-03-14 14:24:19.113,141.2592,11593.76,1150.93
2015-03-14 14:24:36.163,777.5752,9586.528,464.5181
2015-03-14 14:24:51.891,278.1854,25058.58,768.2525
2015-03-14 14:25:07.748,128.7245,2957.296,3997.724
2015-03-14 14:25:23.518,277.1296,2327.41,532.6489
2015-03-14 14:25:39.292,0,21988.44,2634.251
2015-03-14 14:25:55.415,290.0081,8825.431,2165.143
2015-03-14 14:26:11.638,116.69,14244.87,5093.158
2015-03-14 14:26:27.296,333.495,20657.76,12886.29
2015-03-14 14:26:43.136,1087.949,9770.068,5737.803
2015-03-14 14:26:58.894,106.5401,4483.747,1128.114
2015-03-14 14:27:16.242,69.17081,3161.59,5445.748
2015-03-14 14:27:31.991,382.5759,15080.96,3361.845
2015-03-14 14:27:47.721,644.2621,2653.948,3732.067
2015-03-14 14:28:03.538,111.9041,9478.769,3274.503
2015-03-14 14:28:19.355,102.835,5556.011,11223.96
2015-03-14 14:28:35.205,255.827,16253.3,4929.193
2015-03-14 14:28:51.083,241.088,13515.36,3241.5
2015-03-14 14:29:06.954,358.4638,14158.15,8437.056
2015-03-14 14:29:22.762,629.0479,14343.91,4128.495
2015-03-14 14:29:39.490,397.3411,12046.24,9709.427
2015-03-14 14:29:55.281,97.31021,9884.301,3325.646
2015-03-14 14:30:11.770,24.56141,2617.7,1005.744
2015-03-14 14:30:27.479,114.321,8245.057,978.3559
2015-03-14 14:30:43.276,255.951,4116.029,11261.35
2015-03-14 14:30:59.143,178.7531,2113.235,1954.826
2015-03-14 14:31:14.996,178.3026,7413.125,989.5773
2015-03-14 14:31:30.704,127.5728,1583.24,18002.02
2015-03-14 14:31:46.775,129.4031,1822.06,9138.116
2015-03-14 14:32:02.555,396.5449,10179.9,5651.364
2015-03-14 14:32:18.643,261.4685,1987.959,4469.317
2015-03-14 14:32:34.414,74.53096,1656.878,1075.734
2015-03-14 14:32:50.142,229.0811,6511.777,3994.365
2015-03-14 14:33:06.211,499.8185,5059.122,3052.903
2015-03-14 14:33:21.950,554.1604,7091.477,7493.078
2015-03-14 14:33:37.735,253.5691,3882.447,12564.35
2015-03-14 14:33:53.471,168.615,1927.443,2539.711
2015-03-14 14:34:09.333,73.75916,3556.402,1451.391
2015-03-14 14:34:25.067,223.6935,4160.219,4048.945
2015-03-14 14:34:50.818,215.7374,4029.692,4158.519
2015-03-14 14:35:07.677,130.5756,2693.153,4280.523
2015-03-14 14:35:23.504,314.7217,10175.31,3894.406
2015-03-14 14:35:39.393,152.1059,2050.861,2819.434
2015-03-14 14:35:55.218,530.2681,6689.545,10673.11
2015-03-14 14:36:11.001,143.1304,4614.728,6947.886
2015-03-14 14:36:26.705,12.64629,2306.056,6135.971
2015-03-14 14:36:42.586,55.99427,2169.759,6375.828
2015-03-14 14:36:58.585,98.66645,1634.615,9908.796
2015-03-14 14:37:14.772,88.84939,1152.188,4705.015
2015-03-14 14:37:30.497,147.0948,3236.429,2412.927
2015-03-14 14:37:46.391,115.019,2146.594,2030.745
2015-03-14 14:38:02.372,54.13998,1516.971,573.6135
2015-03-14 14:38:18.248,145.2365,1738.567,2676.804
2015-03-14 14:38:34.330,190.6172,1379.839,2263.902
2015-03-14 14:38:50.132,82.39091,1263.353,1969.484
2015-03-14 14:39:05.912,157.9084,13352.59,7242.456
2015-03-14 14:39:21.731,216.7697,2020.453,1652.798
2015-03-14 14:39:37.669,166.0928,2275.23,1718.225
2015-03-14 14:39:57.286,204.3183,6289.67,1581.999
2015-03-14 14:40:13.210,58.7398,2533.988,1892.032
2015-03-14 14:40:29.518,105.3374,637.7638,4613.026
2015-03-14 14:40:45.369,211.2502,1507.519,13459.41
2015-03-14 14:41:01.089,36.79486,175.997,2450.828
2015-03-14 14:41:16.919,21.83104,489.5686,1498.761
2015-03-14 14:41:32.889,198.9413,6680.409,4577.304
2015-03-14 14:41:49.318,96.81563,4992.232,12577.78
