date,Draw,Ireland,Wales
2015-03-14 14:20:16.437,,,
2015-03-14 14:20:32.259,3.846154,54.34783,42.01681
2015-03-14 14:20:47.967,3.846154,54.37332,42.01681
2015-03-14 14:21:03.759,4,54.3495,42.01681
2015-03-14 14:21:19.833,3.909153,54.34783,42.01681
2015-03-14 14:21:35.547,3.909153,54.34783,42.01681
2015-03-14 14:21:51.407,3.909153,54.34235,41.45205
2015-03-14 14:22:07.174,3.846154,54.6234,42.01598
2015-03-14 14:22:27.952,3.778629,54.34783,42.37288
2015-03-14 14:22:43.778,3.721292,54.22443,42.06854
2015-03-14 14:22:59.963,3.846154,54.26709,42.37288
2015-03-14 14:23:15.715,3.846154,54.34783,42.36645
2015-03-14 14:23:31.540,3.703704,54.06707,42.36573
2015-03-14 14:23:47.447,3.835052,54.34783,42.37288
2015-03-14 14:24:03.406,3.703704,54.35025,42.01917
2015-03-14 14:24:19.113,3.746404,54.56621,41.90016
2015-03-14 14:24:36.163,3.649167,54.64481,42.01681
2015-03-14 14:24:51.891,3.728169,54.49749,41.73814
2015-03-14 14:25:07.748,3.787154,54.42265,41.96121
2015-03-14 14:25:23.518,3.846154,54.53005,42.01681
2015-03-14 14:25:39.292,3.846154,54.38117,42.01681
2015-03-14 14:25:55.415,3.713269,54.55882,42.00826
2015-03-14 14:26:11.638,3.751442,54.58477,42.01681
2015-03-14 14:26:27.296,3.729974,54.63176,41.80663
2015-03-14 14:26:43.136,3.772378,54.70706,41.66162
2015-03-14 14:26:58.894,3.810172,54.72483,41.63856
2015-03-14 14:27:16.242,3.846154,54.65335,41.66667
2015-03-14 14:27:31.991,3.770411,54.87301,41.66706
2015-03-14 14:27:47.721,3.773273,54.5729,42.01681
2015-03-14 14:28:03.538,3.739858,54.63677,41.78665
2015-03-14 14:28:19.355,3.753392,54.71945,41.37662
2015-03-14 14:28:35.205,3.841563,54.93282,41.66667
2015-03-14 14:28:51.083,3.846154,55.24568,41.10282
2015-03-14 14:29:06.954,3.715313,55.27566,41.21566
2015-03-14 14:29:22.762,3.78647,55.12697,41.51726
2015-03-14 14:29:39.490,3.616751,55.06936,41.43126
2015-03-14 14:29:55.281,3.654082,54.85852,41.62717
