date,Draw,Italy,Wales
2015-03-21 12:20:16.416,,,
2015-03-21 12:20:32.062,,,96.15385
2015-03-21 12:20:47.725,0.7142857,3.525541,96.15385
2015-03-21 12:21:03.899,0.7142857,3.448276,96.15385
2015-03-21 12:21:26.458,0.7142857,3.507014,96.15385
2015-03-21 12:21:42.101,0.7142857,3.507014,95.2381
2015-03-21 12:21:57.693,0.7142857,3.571429,95.2381
2015-03-21 12:22:13.291,0.7189589,3.571429,95.2381
2015-03-21 12:22:28.948,0.7189589,3.571429,95.2381
2015-03-21 12:22:44.695,0.7189589,3.571429,95.2381
2015-03-21 12:23:00.735,0.7189589,3.450891,96.15385
2015-03-21 12:23:16.288,0.7142857,3.450891,96.15385
2015-03-21 12:23:32.136,0.7142857,3.571429,96.15385
2015-03-21 12:23:47.738,0.7142857,3.571429,96.15385
2015-03-21 12:24:03.285,0.7142857,3.571429,95.2381
2015-03-21 12:24:18.901,0.6666667,3.544809,95.2381
2015-03-21 12:24:34.544,0.7142857,3.571429,96.15385
2015-03-21 12:24:51.118,0.7142857,3.562274,95.29912
2015-03-21 12:25:06.996,0.7181572,3.456357,95.62664
2015-03-21 12:25:22.685,0.7197662,3.364152,96.15385
2015-03-21 12:25:38.369,0.75,3.448276,96.15385
2015-03-21 12:25:54.181,0.7142857,3.448276,96.11358
2015-03-21 12:26:10.264,0.7142857,3.416425,96.15385
2015-03-21 12:26:26.206,0.7142857,3.404151,96.15385
2015-03-21 12:26:41.937,0.7142857,3.333333,96.15385
2015-03-21 12:26:57.548,0.7142857,3.333333,96.12353
2015-03-21 12:27:13.350,0.7142857,3.455578,95.24283
2015-03-21 12:27:29.276,0.7142857,3.633422,96.15385
2015-03-21 12:27:45.052,0.7142857,3.703704,95.2381
2015-03-21 12:28:00.837,0.7692308,3.703704,95.2381
2015-03-21 12:28:16.828,0.7692308,3.665216,95.2381
2015-03-21 12:28:32.593,0.7168475,3.630519,95.2381
2015-03-21 12:28:48.429,0.7692308,4.067797,95.2381
2015-03-21 12:29:04.257,0.7692308,3.977273,96.06808
2015-03-21 12:29:20.175,0.7692308,3.75,95.9453
2015-03-21 12:29:36.062,0.6666667,3.75,95.2381
2015-03-21 12:29:52.964,0.7995736,3.75,94.33962
2015-03-21 12:30:08.767,0.7142857,5,95.12319
2015-03-21 12:30:24.624,0.8333333,4.761905,94.33962
2015-03-21 12:30:40.394,0.8333333,4.761905,94.38747
2015-03-21 12:30:56.108,0.8769849,4.545455,94.62057
2015-03-21 12:31:11.760,0.9090909,4.18251,95.2381
2015-03-21 12:31:27.541,0.9494599,3.992311,95.43294
2015-03-21 12:31:50.421,0.9111753,3.747528,95.82321
2015-03-21 12:32:06.141,0.7692308,3.950428,96.13358
2015-03-21 12:32:21.663,0.7569721,4,95.49905
2015-03-21 12:32:37.279,0.7692308,4,95.2381
